Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,AverageWorkingHours,Overtime_Hours,Loyalty_Ratio,Promotion_Stagnation,Manager_Stability,Prior_Tenure_Avg,Compa_Ratio_Level,Hike_Per_Performance,Burnout_Risk_Score,Attrition_Binary
53,No,Travel_Rarely,Research & Development,11,4,Life Sciences,23,Female,2,Research Scientist,Married,21480,3.0,11,0,21.0,2,5,1,3,3,3,3.0,3.0,2.0,8.402108477011494,0.40210847701149355,0.23809523809523808,0.2,0.6,5.333333333333333,10740.0,3.6666666666666665,1.2063254310344806,0
42,No,Travel_Rarely,Research & Development,4,4,Life Sciences,24,Male,1,Manufacturing Director,Married,89260,1.0,14,0,10.0,4,20,11,6,1,3,2.0,3.0,3.0,6.8070052800734615,-1.1929947199265385,2.0,0.55,0.3,-10.0,89260.0,4.666666666666667,-2.385989439853077,0
29,No,Travel_Frequently,Research & Development,16,4,Medical,25,Male,1,Laboratory Technician,Single,65130,1.0,11,1,10.0,2,10,0,9,3,3,2.0,4.0,2.0,7.093167388167388,-0.9068326118326118,1.0,0.0,0.9,0.0,65130.0,3.6666666666666665,-2.7204978354978353,0
55,No,Travel_Rarely,Research & Development,1,4,Other,26,Female,1,Research Scientist,Married,67990,3.0,11,0,12.0,2,10,0,8,3,3,2.0,4.0,3.0,9.362002074688798,1.3620020746887977,0.8333333333333334,0.0,0.8,0.6666666666666666,67990.0,3.6666666666666665,2.7240041493775955,0
26,No,Travel_Frequently,Research & Development,9,3,Life Sciences,27,Female,1,Manager,Married,162910,1.0,22,0,5.0,3,5,3,3,3,4,1.0,1.0,3.0,10.977123430962344,2.9771234309623438,1.0,0.6,0.6,0.0,162910.0,5.5,5.9542468619246876,0
37,No,Travel_Rarely,Sales,5,1,Marketing,28,Male,1,Research Scientist,Single,27050,1.0,11,0,17.0,2,17,5,7,3,3,4.0,4.0,3.0,7.604444444444445,-0.3955555555555552,1.0,0.29411764705882354,0.4117647058823529,0.0,27050.0,3.6666666666666665,-0.7911111111111104,0
44,Yes,Travel_Frequently,Research & Development,1,2,Medical,29,Male,2,Research Scientist,Divorced,103330,3.0,14,1,19.0,2,1,0,0,2,3,4.0,3.0,1.0,10.97758573388203,2.97758573388203,0.05263157894736842,0.0,0.0,6.0,51665.0,4.666666666666667,11.91034293552812,1
38,No,Travel_Rarely,Sales,2,3,Marketing,30,Female,1,Manager,Divorced,44480,9.0,12,0,10.0,3,2,1,2,2,3,4.0,4.0,3.0,6.8312753623188405,-1.1687246376811595,0.2,0.5,1.0,0.8888888888888888,44480.0,4.0,-2.337449275362319,0
26,Yes,Travel_Rarely,Research & Development,4,3,Medical,31,Male,3,Research Scientist,Divorced,68540,2.0,11,0,5.0,5,3,0,2,2,3,1.0,2.0,3.0,10.109408263305323,2.1094082633053226,0.6,0.0,0.6666666666666666,1.0,22846.666666666668,3.6666666666666665,4.218816526610645,1
28,No,Travel_Rarely,Research & Development,7,3,Other,32,Male,1,Human Resources,Single,96370,1.0,13,0,5.0,6,5,0,2,2,3,4.0,4.0,3.0,6.709665977961433,-1.290334022038567,1.0,0.0,0.4,0.0,96370.0,4.333333333333333,-2.580668044077134,0
49,No,Travel_Frequently,Research & Development,1,1,Medical,33,Female,2,Research Scientist,Single,35910,9.0,13,0,22.0,2,3,1,2,3,3,3.0,1.0,3.0,10.518214624881292,2.518214624881292,0.13636363636363635,0.3333333333333333,0.6666666666666666,2.111111111111111,17955.0,4.333333333333333,5.036429249762584,0
36,No,Travel_Rarely,Sales,5,3,Technical Degree,34,Male,3,Sales Executive,Single,54050,4.0,14,0,10.0,2,8,7,7,3,3,3.0,2.0,3.0,6.182887517146776,-1.817112482853224,0.8,0.875,0.875,0.5,18016.666666666668,4.666666666666667,-3.634224965706448,0
31,No,Travel_Frequently,Research & Development,9,4,Medical,35,Male,1,Sales Executive,Divorced,46840,1.0,16,1,2.0,4,2,2,2,3,3,4.0,2.0,2.0,6.586388888888888,-1.4136111111111118,1.0,1.0,1.0,0.0,46840.0,5.333333333333333,-4.2408333333333355,0
26,Yes,Travel_Rarely,Research & Development,8,3,Medical,36,Male,2,Manager,Single,157870,1.0,12,2,8.0,5,8,7,4,3,3,4.0,4.0,3.0,10.272241379310346,2.272241379310346,1.0,0.875,0.5,0.0,78935.0,4.0,4.544482758620692,1
37,No,Travel_Frequently,Sales,9,1,Marketing,37,Male,1,Laboratory Technician,Married,15140,1.0,14,0,4.0,3,4,1,2,3,3,2.0,4.0,2.0,9.982733011937558,1.9827330119375581,1.0,0.25,0.5,0.0,15140.0,4.666666666666667,5.948199035812674,0
42,No,Travel_Frequently,Sales,2,2,Marketing,38,Male,3,Research Director,Married,29560,5.0,13,0,23.0,2,20,4,8,3,3,3.0,2.0,4.0,5.979567632850242,-2.020432367149758,0.8695652173913043,0.2,0.4,0.6,9853.333333333334,4.333333333333333,-2.020432367149758,0
18,Yes,Travel_Rarely,Research & Development,1,4,Life Sciences,39,Male,1,Sales Executive,Single,23350,1.0,14,2,0.0,3,0,0,0,2,3,3.0,3.0,3.0,6.775967939304944,-1.2240320606950563,0.0,0.0,0.0,0.0,23350.0,4.666666666666667,-2.4480641213901126,1
35,No,Travel_Rarely,Sales,20,2,Life Sciences,40,Male,1,Laboratory Technician,Married,51540,0.0,19,0,12.0,2,11,6,9,2,3,3.0,2.0,2.0,7.690160390516039,-0.3098396094839613,0.9166666666666666,0.5454545454545454,0.8181818181818182,0.0,51540.0,6.333333333333333,-0.9295188284518838,0
36,No,Travel_Frequently,Research & Development,8,3,Other,41,Female,3,Sales Executive,Married,69620,4.0,12,2,4.0,2,1,0,0,2,3,3.0,4.0,3.0,7.204732468123862,-0.7952675318761377,0.25,0.0,0.0,0.75,23206.666666666668,4.0,-1.5905350637522755,0
51,No,Travel_Rarely,Research & Development,2,3,Life Sciences,42,Male,2,Laboratory Technician,Divorced,56750,5.0,13,0,13.0,2,4,1,2,2,3,4.0,2.0,3.0,7.594769503546099,-0.40523049645390063,0.3076923076923077,0.25,0.5,1.8,28375.0,4.333333333333333,-0.8104609929078013,0
41,No,Travel_Rarely,Research & Development,29,1,Life Sciences,43,Male,1,Laboratory Technician,Single,23790,1.0,12,0,22.0,6,22,0,4,3,3,4.0,2.0,3.0,6.95264233241506,-1.04735766758494,1.0,0.0,0.18181818181818182,0.0,23790.0,4.0,-2.09471533516988,0
18,No,Travel_Rarely,Sales,7,3,Life Sciences,44,Male,1,Research Scientist,Single,38120,1.0,15,0,0.0,3,0,0,0,3,3,4.0,3.0,3.0,7.008878472222222,-0.9911215277777776,0.0,0.0,0.0,0.0,38120.0,5.0,-1.9822430555555552,0
28,No,Travel_Rarely,Research & Development,9,3,Medical,45,Male,1,Sales Representative,Single,46480,0.0,23,2,9.0,2,8,0,7,2,4,2.0,1.0,3.0,7.201573315118397,-0.7984266848816031,0.8888888888888888,0.0,0.875,0.0,46480.0,5.75,-1.5968533697632061,0
31,No,Travel_Rarely,Research & Development,8,1,Technical Degree,46,Male,1,Manufacturing Director,Married,29360,4.0,12,1,10.0,2,8,7,7,3,3,2.0,4.0,2.0,7.1728749999999994,-0.8271250000000006,0.8,0.875,0.875,0.5,29360.0,4.0,-2.4813750000000017,0
39,No,Travel_Rarely,Sales,5,4,Marketing,47,Female,2,Human Resources,Divorced,21050,0.0,20,0,19.0,3,18,3,7,3,4,3.0,4.0,2.0,7.636801418439717,-0.3631985815602832,0.9473684210526315,0.16666666666666666,0.3888888888888889,0.0,10525.0,5.0,-1.0895957446808495,0
36,No,Non-Travel,Research & Development,5,4,Life Sciences,48,Male,1,Sales Executive,Married,85780,7.0,21,0,11.0,4,9,0,8,3,4,2.0,2.0,3.0,7.83278129395218,-0.1672187060478203,0.8181818181818182,0.0,0.8888888888888888,0.2857142857142857,85780.0,5.25,-0.3344374120956406,0
32,No,Travel_Rarely,Sales,2,3,Marketing,49,Male,2,Laboratory Technician,Married,27060,1.0,21,1,13.0,4,13,4,8,3,4,4.0,3.0,2.0,6.974765051395007,-1.025234948604993,1.0,0.3076923076923077,0.6153846153846154,0.0,13530.0,5.25,-3.075704845814979,0
38,No,Travel_Rarely,Research & Development,5,2,Life Sciences,50,Female,3,Research Scientist,Married,63840,3.0,19,2,19.0,4,10,0,1,2,3,1.0,2.0,3.0,6.906424220272905,-1.0935757797270949,0.5263157894736842,0.0,0.1,3.0,21280.0,6.333333333333333,-2.1871515594541897,0
58,No,Non-Travel,Research & Development,2,3,Life Sciences,51,Male,2,Manufacturing Director,Divorced,39680,2.0,13,2,12.0,3,5,1,2,2,3,4.0,3.0,3.0,10.895463728191,2.8954637281910003,0.4166666666666667,0.2,0.4,3.5,19840.0,4.333333333333333,5.790927456382001,0
31,No,Travel_Rarely,Research & Development,20,1,Technical Degree,52,Female,3,Research Scientist,Married,99070,0.0,13,1,6.0,3,5,0,3,2,3,3.0,4.0,3.0,9.125665729020158,1.1256657290201577,0.8333333333333334,0.0,0.6,0.0,33023.333333333336,4.333333333333333,2.2513314580403154,0
31,No,Travel_Rarely,Sales,7,4,Marketing,53,Male,2,Sales Executive,Married,132250,3.0,21,1,9.0,2,2,1,0,3,4,1.0,1.0,3.0,6.831459786145978,-1.1685402138540217,0.2222222222222222,0.5,0.0,2.3333333333333335,66125.0,5.25,-2.3370804277080435,0
45,No,Travel_Frequently,Research & Development,3,1,Medical,54,Female,1,Sales Executive,Divorced,35400,1.0,13,0,24.0,6,24,9,11,3,3,1.0,1.0,3.0,7.3160499058380415,-0.6839500941619585,1.0,0.375,0.4583333333333333,0.0,35400.0,4.333333333333333,-1.367900188323917,0
31,No,Travel_Rarely,Sales,16,4,Marketing,55,Female,2,Research Scientist,Divorced,28040,0.0,19,2,3.0,0,2,2,2,3,3,3.0,4.0,1.0,8.610798041894354,0.6107980418943537,0.6666666666666666,1.0,1.0,0.0,14020.0,6.333333333333333,2.443192167577415,0
33,No,Travel_Frequently,Research & Development,9,3,Life Sciences,56,Male,4,Research Director,Married,193920,6.0,12,1,12.0,3,10,8,8,3,3,4.0,2.0,3.0,6.784845288326301,-1.2151547116736987,0.8333333333333334,0.8,0.8,0.3333333333333333,48480.0,4.0,-2.4303094233473974,0
39,No,Travel_Rarely,Sales,1,4,Life Sciences,57,Male,1,Sales Executive,Married,196650,1.0,22,1,21.0,6,21,11,10,3,4,3.0,1.0,3.0,10.986099773242628,2.9860997732426284,1.0,0.5238095238095238,0.47619047619047616,0.0,196650.0,5.5,5.972199546485257,0
43,No,Travel_Frequently,Research & Development,7,4,Medical,58,Male,4,Research Scientist,Single,24390,0.0,15,0,9.0,2,8,1,7,3,3,3.0,4.0,3.0,7.68658467939305,-0.3134153206069499,0.8888888888888888,0.125,0.875,0.0,6097.5,5.0,-0.6268306412138998,0
49,No,Travel_Rarely,Research & Development,1,3,Life Sciences,59,Male,3,Manufacturing Director,Single,73140,7.0,22,0,25.0,2,7,0,7,3,4,3.0,3.0,3.0,9.948856881572931,1.9488568815729312,0.28,0.0,1.0,2.5714285714285716,24380.0,5.5,3.8977137631458625,0
52,Yes,Travel_Rarely,Research & Development,7,1,Life Sciences,60,Female,2,Research Scientist,Married,47740,2.0,18,1,11.0,2,8,7,7,3,3,3.0,2.0,2.0,7.9055276615527665,-0.09447233844723346,0.7272727272727273,0.875,0.875,1.5,23870.0,6.0,-0.2834170153417004,1
27,No,Travel_Rarely,Research & Development,15,4,Medical,61,Male,3,Research Scientist,Single,39020,1.0,22,0,4.0,2,4,1,2,3,4,3.0,2.0,2.0,10.672414617486337,2.6724146174863375,1.0,0.25,0.5,0.0,13006.666666666666,5.5,8.017243852459012,0
32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,62,Male,3,Research Scientist,Married,26620,1.0,11,1,13.0,6,13,11,9,4,3,3.0,2.0,3.0,10.496171548117156,2.4961715481171556,1.0,0.8461538461538461,0.6923076923076923,0.0,8873.333333333334,3.6666666666666665,4.992343096234311,0
27,No,Travel_Rarely,Research & Development,13,2,Medical,63,Female,4,Research Director,Single,28560,1.0,12,2,5.0,5,5,0,4,4,3,4.0,3.0,3.0,10.069261664261665,2.0692616642616652,1.0,0.0,0.8,0.0,7140.0,4.0,4.1385233285233305,0
31,No,Travel_Rarely,Sales,24,3,Life Sciences,64,Male,2,Healthcare Representative,Divorced,10810,4.0,11,3,13.0,4,7,1,7,4,3,4.0,4.0,3.0,6.607014174668495,-1.3929858253315048,0.5384615384615384,0.14285714285714285,1.0,1.5,5405.0,3.6666666666666665,-2.7859716506630097,0
32,No,Travel_Rarely,Research & Development,7,3,Technical Degree,65,Male,2,Healthcare Representative,Single,24720,7.0,13,0,10.0,2,7,0,7,3,3,1.0,4.0,2.0,7.497914908579466,-0.5020850914205344,0.7,0.0,1.0,0.42857142857142855,12360.0,4.333333333333333,-1.506255274261603,0
28,Yes,Travel_Rarely,Research & Development,9,4,Medical,66,Male,1,Sales Executive,Married,56730,5.0,14,1,5.0,4,3,2,2,2,3,1.0,4.0,2.0,10.727235717498877,2.7272357174988766,0.6,0.6666666666666666,0.6666666666666666,0.4,56730.0,4.666666666666667,8.18170715249663,1
30,No,Travel_Rarely,Research & Development,13,3,Life Sciences,67,Female,4,Research Director,Married,41970,1.0,13,0,11.0,3,10,1,9,3,3,4.0,4.0,3.0,6.184816810344828,-1.8151831896551718,0.9090909090909091,0.1,0.9,1.0,10492.5,4.333333333333333,-3.6303663793103436,0
31,No,Travel_Frequently,Research & Development,2,1,Life Sciences,68,Female,1,Manager,Married,97130,1.0,17,0,10.0,5,10,8,9,2,3,3.0,3.0,3.0,6.609300048947627,-1.3906999510523734,1.0,0.8,0.9,0.0,97130.0,5.666666666666667,-2.781399902104747,0
39,No,Travel_Frequently,Research & Development,19,4,Medical,69,Female,1,Research Scientist,Married,20620,1.0,13,0,21.0,4,21,13,3,3,3,3.0,4.0,3.0,6.07624634502924,-1.92375365497076,1.0,0.6190476190476191,0.14285714285714285,0.0,20620.0,4.333333333333333,-3.84750730994152,0
39,Yes,Travel_Rarely,Research & Development,1,1,Medical,70,Female,1,Laboratory Technician,Married,42840,4.0,17,1,12.0,0,1,0,0,3,3,4.0,3.0,2.0,9.971745709123757,1.9717457091237574,0.08333333333333333,0.0,0.0,2.75,42840.0,5.666666666666667,5.915237127371272,1
33,No,Travel_Frequently,Sales,4,2,Life Sciences,71,Male,4,Research Scientist,Single,47880,3.0,11,1,9.0,0,7,0,1,3,3,2.0,4.0,2.0,7.42145202020202,-0.57854797979798,0.7777777777777778,0.0,0.14285714285714285,0.6666666666666666,11970.0,3.6666666666666665,-1.73564393939394,0
47,No,Travel_Rarely,Research & Development,4,3,Life Sciences,72,Female,2,Healthcare Representative,Married,59060,4.0,23,0,21.0,4,3,1,1,4,4,4.0,3.0,3.0,6.493810013717422,-1.5061899862825783,0.14285714285714285,0.3333333333333333,0.3333333333333333,4.5,29530.0,5.75,-3.0123799725651565,0
43,No,Travel_Frequently,Research & Development,14,3,Medical,73,Female,5,Research Director,Divorced,38860,1.0,17,2,9.0,2,9,0,0,3,3,3.0,3.0,4.0,6.299470449172577,-1.7005295508274232,1.0,0.0,0.0,0.0,7772.0,5.666666666666667,-1.7005295508274232,0
27,No,Non-Travel,Research & Development,2,3,Life Sciences,74,Male,1,Research Director,Married,168230,0.0,17,0,6.0,3,5,1,4,3,3,3.0,2.0,3.0,9.316973304473304,1.3169733044733043,0.8333333333333334,0.2,0.8,0.0,168230.0,5.666666666666667,2.6339466089466086,0
54,No,Travel_Frequently,Research & Development,1,4,Life Sciences,75,Male,2,Research Scientist,Single,29330,3.0,12,2,20.0,2,4,0,3,3,3,4.0,3.0,2.0,6.097862787356322,-1.9021372126436784,0.2,0.0,0.75,5.333333333333333,14665.0,4.0,-5.706411637931035,0
43,No,Travel_Rarely,Research & Development,7,2,Life Sciences,76,Female,2,Manager,Married,65000,8.0,23,0,10.0,3,1,0,0,3,4,3.0,1.0,2.0,7.217327264239029,-0.7826727357609711,0.1,0.0,0.0,1.125,32500.0,5.75,-2.348018207282913,0
45,No,Travel_Rarely,Sales,3,1,Marketing,77,Female,1,Sales Executive,Married,171740,9.0,14,1,12.0,6,10,9,8,3,3,4.0,4.0,3.0,7.100070018365472,-0.8999299816345276,0.8333333333333334,0.9,0.8,0.2222222222222222,171740.0,4.666666666666667,-1.7998599632690553,0
40,No,Travel_Rarely,Research & Development,2,4,Other,78,Male,4,Research Scientist,Married,50330,2.0,14,2,6.0,6,4,0,2,3,3,2.0,4.0,2.0,9.914107744107746,1.9141077441077456,0.6666666666666666,0.0,0.5,1.0,12582.5,4.666666666666667,5.742323232323237,0
29,Yes,Travel_Rarely,Research & Development,29,3,Medical,79,Female,1,Research Scientist,Married,23070,1.0,13,1,7.0,0,7,0,7,3,3,2.0,1.0,2.0,10.477788647342997,2.4777886473429973,1.0,0.0,1.0,0.0,23070.0,4.333333333333333,7.433365942028992,1
29,No,Travel_Rarely,Human Resources,8,3,Medical,80,Male,3,Sales Representative,Single,25870,0.0,22,2,4.0,3,3,2,2,3,4,2.0,4.0,3.0,6.906938633193863,-1.093061366806137,0.75,0.6666666666666666,0.6666666666666666,0.0,8623.333333333334,5.5,-2.186122733612274,0
30,No,Travel_Rarely,Research & Development,10,3,Life Sciences,81,Male,2,Research Scientist,Divorced,55070,1.0,12,2,10.0,2,10,1,2,2,3,4.0,3.0,3.0,7.58909243295019,-0.4109075670498097,1.0,0.1,0.2,0.0,27535.0,4.0,-0.8218151340996194,0
27,No,Travel_Rarely,Research & Development,11,2,Medical,82,Male,1,Manager,Married,43930,1.0,18,1,8.0,2,8,0,7,2,3,2.0,2.0,3.0,6.079724499089253,-1.9202755009107468,1.0,0.0,0.875,0.0,43930.0,6.0,-3.8405510018214937,0
37,No,Travel_Rarely,Sales,1,4,Life Sciences,83,Male,2,Healthcare Representative,Divorced,133480,7.0,14,0,8.0,4,6,0,4,3,3,4.0,4.0,2.0,6.001112288135593,-1.9988877118644073,0.75,0.0,0.6666666666666666,0.2857142857142857,66740.0,4.666666666666667,-5.996663135593222,0
38,No,Travel_Rarely,Research & Development,28,4,Medical,84,Male,1,Laboratory Technician,Divorced,65830,0.0,12,0,12.0,1,11,2,9,3,3,3.0,4.0,3.0,8.983123278236915,0.9831232782369153,0.9166666666666666,0.18181818181818182,0.8181818181818182,0.0,65830.0,4.0,1.9662465564738305,0
31,No,Travel_Rarely,Research & Development,6,3,Medical,85,Female,3,Manager,Single,81030,1.0,15,1,11.0,5,11,4,10,3,3,3.0,4.0,3.0,10.426184640522877,2.4261846405228766,1.0,0.36363636363636365,0.9090909090909091,0.0,27010.0,5.0,4.852369281045753,0
29,No,Travel_Rarely,Research & Development,3,4,Life Sciences,86,Male,3,Sales Executive,Divorced,39780,1.0,11,0,7.0,0,7,1,7,3,3,4.0,2.0,3.0,8.387526183970857,0.3875261839708575,1.0,0.14285714285714285,1.0,0.0,13260.0,3.6666666666666665,0.775052367941715,0
35,No,Travel_Rarely,Sales,16,2,Technical Degree,87,Male,3,Manager,Single,25440,0.0,13,1,17.0,3,16,0,13,4,3,3.0,2.0,3.0,7.9120386266094425,-0.08796137339055754,0.9411764705882353,0.0,0.8125,0.0,8480.0,4.333333333333333,-0.17592274678111508,0
23,No,Travel_Rarely,Research & Development,20,4,Life Sciences,88,Male,1,Manufacturing Director,Divorced,53990,1.0,23,0,4.0,2,4,0,2,2,4,3.0,4.0,2.0,7.105291842475386,-0.8947081575246143,1.0,0.0,0.5,0.0,53990.0,5.75,-2.684124472573843,0
41,No,Travel_Rarely,Research & Development,9,2,Life Sciences,89,Female,1,Laboratory Technician,Single,54870,6.0,19,2,8.0,0,5,1,2,3,3,4.0,2.0,3.0,9.688633193863318,1.6886331938633177,0.625,0.2,0.4,0.5,54870.0,6.333333333333333,3.3772663877266353,0
47,No,Travel_Frequently,Sales,1,3,Medical,90,Female,2,Laboratory Technician,Single,68340,3.0,16,1,5.0,2,0,0,0,4,3,2.0,3.0,3.0,7.770347512784752,-0.22965248721524834,0.0,0.0,0.0,1.6666666666666667,34170.0,5.333333333333333,-0.45930497443049667,0
42,No,Travel_Rarely,Research & Development,3,4,Life Sciences,91,Male,1,Manager,Single,10910,2.0,22,0,16.0,0,1,0,0,1,4,1.0,4.0,3.0,6.284280356305673,-1.7157196436943272,0.0625,0.0,0.0,7.5,10910.0,5.5,-3.4314392873886543,0
